Day Menu,Total Calories,Total Protein (g),Total Fat (g),Total Fiber (g)
Gluten-Free Lunch + Protein-Rich Meal + High-Calorie Breakfast,2100,130,83,22
Protein-Rich Meal + Weight Loss Plan + Diabetic-Friendly Dinner,1650,115,50,24
High-Fiber Dinner + Heart-Healthy Meal + Protein-Rich Meal,2000,125,65,31
Low-Fat Lunch + Weight Gain Plan + Keto Snack,1950,105,85,16
Vegan Dinner + Low-Fat Lunch + Keto Snack,1350,55,50,18
Vegan Dinner + Weight Loss Plan + Balanced Meal,1500,80,38,23
Gluten-Free Lunch + Weight Loss Plan + Diabetic-Friendly Dinner,1450,85,38,22
High-Fiber Dinner + Weight Loss Plan + Keto Snack,1350,70,53,21
Low-Fat Lunch + Vegan Dinner + Protein-Rich Meal,1800,105,55,24
Low-Carb Snack + Low-Calorie Breakfast + Heart-Healthy Meal,1150,70,35,16
High-Protein Lunch + Weight Gain Plan + Heart-Healthy Meal,2500,155,90,26
Low-Fat Lunch + Gluten-Free Lunch + High-Protein Lunch,1700,105,53,20
Low-Carb Snack + Keto Snack + Balanced Meal,1000,55,50,12
Balanced Meal + High-Calorie Breakfast + High-Protein Lunch,2000,120,75,21
High-Protein Lunch + Vegan Dinner + Heart-Healthy Meal,1900,105,55,28
Vegan Dinner + High-Fiber Dinner + Balanced Meal,1750,80,50,29
Diabetic-Friendly Dinner + Gluten-Free Lunch + Weight Loss Plan,1450,85,38,22
Low-Calorie Breakfast + Diabetic-Friendly Dinner + Low-Carb Snack,1050,60,32,15
Protein-Rich Meal + Heart-Healthy Meal + Low-Fat Lunch,1800,120,55,24
High-Fiber Dinner + Weight Loss Plan + Vegan Dinner,1650,80,43,28
Low-Fat Lunch + Low-Carb Snack + Protein-Rich Meal,1400,100,50,16
Diabetic-Friendly Dinner + Low-Calorie Breakfast + Low-Fat Lunch,1300,70,32,18
Low-Carb Snack + High-Fiber Dinner + Weight Loss Plan,1250,75,38,20
Weight Gain Plan + Low-Fat Lunch + Balanced Meal,2150,125,75,20
Heart-Healthy Meal + High-Protein Lunch + Low-Calorie Breakfast,1650,105,50,22
Weight Gain Plan + Diabetic-Friendly Dinner + High-Protein Lunch,2400,145,87,25
Protein-Rich Meal + Vegan Dinner + Weight Gain Plan,2550,150,95,27
Low-Calorie Breakfast + Balanced Meal + Gluten-Free Lunch,1400,80,43,18
Low-Carb Snack + Heart-Healthy Meal + Keto Snack,1100,60,50,15
Balanced Meal + High-Fiber Dinner + Vegan Dinner,1750,80,50,29
Protein-Rich Meal + High-Fiber Dinner + Diabetic-Friendly Dinner,1900,115,62,30
Low-Fat Lunch + Heart-Healthy Meal + Protein-Rich Meal,1800,120,55,24
Low-Fat Lunch + Balanced Meal + Low-Carb Snack,1150,70,35,14
Keto Snack + Low-Fat Lunch + Low-Calorie Breakfast,1100,55,45,12
Low-Calorie Breakfast + Heart-Healthy Meal + Keto Snack,1250,65,50,17
High-Protein Lunch + High-Fiber Dinner + High-Calorie Breakfast,2150,120,80,26
Weight Loss Plan + Low-Carb Snack + Protein-Rich Meal,1350,105,48,17
Weight Loss Plan + Heart-Healthy Meal + Keto Snack,1300,75,48,19
Keto Snack + Weight Gain Plan + Vegan Dinner,2100,100,90,21
High-Protein Lunch + High-Fiber Dinner + Vegan Dinner,1950,100,60,30
Weight Loss Plan + Balanced Meal + Vegan Dinner,1500,80,38,23
High-Calorie Breakfast + High-Fiber Dinner + Low-Carb Snack,1650,85,65,20
Low-Carb Snack + Low-Fat Lunch + Low-Calorie Breakfast,1000,60,30,11
Protein-Rich Meal + Weight Gain Plan + Balanced Meal,2450,160,95,24
High-Protein Lunch + Weight Loss Plan + Low-Fat Lunch,1550,105,43,19
High-Protein Lunch + Low-Calorie Breakfast + Gluten-Free Lunch,1600,100,53,19
Heart-Healthy Meal + Diabetic-Friendly Dinner + Balanced Meal,1600,90,42,26
Weight Gain Plan + Weight Loss Plan + Vegan Dinner,2200,120,73,24
High-Calorie Breakfast + Vegan Dinner + Balanced Meal,1900,90,65,23
Keto Snack + Low-Fat Lunch + High-Fiber Dinner,1400,65,55,20
